,职位名称,公司名称,职位月薪,工作地点,发布日期
27,python开发工程师,厦门声连网信息科技有限公司,12000-24000,厦门,最近
28,Python开发工程师,深圳市风云互动网络科技有限公司福州分公司,8000-15000,厦门,招聘中
29,Python工程师,厦门帝恩思科技股份有限公司,8000-16000,厦门,最新
30,Python开发工程师,厦门集微科技有限公司,10001-15000,厦门,最近
31,Python 工程师,厦门铠甲网络股份有限公司,5000-8000,厦门,招聘中
32,Python / Odoo 开发工程师,厦门智士软件科技有限公司,8000-16000,厦门,招聘中
33,python研发工程师,厦门旗都贸易有限公司,4000-8000,厦门,最新
34,python,范尼(厦门)网络科技有限公司,8000-15000,厦门,招聘中
35,python数据挖掘工程师,厦门艾帝尔斯进出口有限公司,6001-8000,厦门,招聘中
36,python,厦门夕游网络科技有限公司,5000-10000,厦门,招聘中
37,Python工程师,厦门艾帝尔斯进出口有限公司,4001-6000,厦门-湖里区,招聘中
38,爬虫工程师/Python/Java,厦门市秦商信息科技有限公司,10001-15000,厦门,最近
39,python工程师,钛链智云(厦门)信息科技有限公司,8000-12000,厦门,招聘中
40,python 工程师,厦门今立方科技有限公司,7000-14000,厦门,招聘中
41,python工程师,厦门必本区块链有限公司,8000-15000,厦门,招聘中
42,UI设计师+人工智能助理,北京百知教育科技有限公司,7500-13000,厦门,最新
43,深度学习工程师,厦门市美亚柏科信息股份有限公司,10001-15000,厦门-思明区,最新
44,嵌入式软件开发工程师,厦门市美亚柏科信息股份有限公司,10001-15000,厦门,最新
45,前端开发工程师—高级,上德(珠海)数据科技有限公司,8000-16000,厦门,最新
46,前端开发工程师,环球商付(厦门)科技有限公司,7000-12000,厦门,最新
47,大数据分析师,厦门傲珂尼电子科技有限公司,5000-10000,厦门,最新
48,图像算法工程师,北博(厦门)智能科技有限公司,10000-20000,厦门,最新
49,PHP 开发工程师—高级[厦门],上德(珠海)数据科技有限公司,8000-16000,厦门,最新
50,嵌入式驱动工程师,厦门麦克玛视电子信息技术有限公司,6001-8000,厦门,最新
51,技术总监,厦门众库科技有限公司,20000-35000,厦门,最新
52,人工智能平台应用开发工程师,厦门市美亚柏科信息股份有限公司,15001-20000,厦门,最新
53,大数据开发工程师(002517),金诚集团,15001-20000,厦门,最新
54,软件自动化测试,厦门市美亚柏科信息股份有限公司,7000-12000,厦门,最新
55,大数据架构师(002515),金诚集团,20001-30000,厦门,最新
56,云平台开发工程师,金诚集团,10000-15000,厦门,最新
57,运维开发工程师,金诚集团,8000-15000,厦门,最新
